CELL_ID,PC_1,PC_2,PC_3,UMAP_1,UMAP_2,UMAP_3,CLUSTER,STAGE_LR,STAGE_HR,STRAIN,DAY,HOST
X32706_8_77_sorted.bam,NA,NA,NA,-11.06698337,7.647021227,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_78_sorted.bam,NA,NA,NA,-14.72100368,-0.322675295,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_79_sorted.bam,NA,NA,NA,7.36813912,-14.3210078,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_80_sorted.bam,NA,NA,NA,-1.230805305,-15.70937545,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_81_sorted.bam,NA,NA,NA,-9.523587373,3.762158327,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_82_sorted.bam,NA,NA,NA,-15.04645458,-1.294567055,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_83_sorted.bam,NA,NA,NA,-15.96242824,11.37298959,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_84_sorted.bam,NA,NA,NA,-0.398135689,-16.49303538,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_85_sorted.bam,NA,NA,NA,-11.71982303,-4.174056954,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_86_sorted.bam,NA,NA,NA,-15.53830448,-2.897381938,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_87_sorted.bam,NA,NA,NA,4.583205315,-11.62273223,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_88_sorted.bam,NA,NA,NA,1.354873652,-13.70160777,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_89_sorted.bam,NA,NA,NA,-10.3812162,1.070807629,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_90_sorted.bam,NA,NA,NA,-14.15234199,5.665707522,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_93_sorted.bam,NA,NA,NA,0.533932957,-16.52505309,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_94_sorted.bam,NA,NA,NA,-6.081790117,3.724104815,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_95_sorted.bam,NA,NA,NA,-13.76138225,-1.627066917,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_96_sorted.bam,NA,NA,NA,5.967867705,-15.3679238,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_98_sorted.bam,NA,NA,NA,-0.779833225,-14.90357501,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_99_sorted.bam,NA,NA,NA,-13.49266258,0.230058365,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_100_sorted.bam,NA,NA,NA,-13.46123805,-1.626910157,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_101_sorted.bam,NA,NA,NA,3.776360604,-13.5340348,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_103_sorted.bam,NA,NA,NA,-9.332048563,2.620101385,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_104_sorted.bam,NA,NA,NA,-5.822764066,-3.375569589,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_105_sorted.bam,NA,NA,NA,0.195526692,-15.41767413,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_106_sorted.bam,NA,NA,NA,1.229575577,-12.05724055,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_107_sorted.bam,NA,NA,NA,-9.565094141,2.206520968,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_108_sorted.bam,NA,NA,NA,-15.74343219,-0.220285244,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_109_sorted.bam,NA,NA,NA,-0.057888177,-15.46982581,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_110_sorted.bam,NA,NA,NA,0.375269028,-12.57202346,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_111_sorted.bam,NA,NA,NA,-11.97195735,0.976746016,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_112_sorted.bam,NA,NA,NA,-9.551327852,0.9984793,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_113_sorted.bam,NA,NA,NA,-0.128434805,-14.86202342,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_114_sorted.bam,NA,NA,NA,7.56226525,-14.63373477,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_115_sorted.bam,NA,NA,NA,-11.16149154,-2.094390846,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_116_sorted.bam,NA,NA,NA,-15.40422931,0.519706183,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_117_sorted.bam,NA,NA,NA,-7.800414232,-8.458846159,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_118_sorted.bam,NA,NA,NA,7.289606902,-11.46637351,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_119_sorted.bam,NA,NA,NA,-6.115529207,1.214163714,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_120_sorted.bam,NA,NA,NA,-3.508752493,-3.627406783,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_121_sorted.bam,NA,NA,NA,-5.781712202,-0.089329548,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_122_sorted.bam,NA,NA,NA,4.035145613,-12.63465888,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_123_sorted.bam,NA,NA,NA,7.514407965,-13.79831321,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_124_sorted.bam,NA,NA,NA,-12.7148458,2.177107744,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_125_sorted.bam,NA,NA,NA,-11.53611389,7.680936747,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_126_sorted.bam,NA,NA,NA,4.72678599,-17.00202853,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_127_sorted.bam,NA,NA,NA,0.222977969,-11.67156131,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_128_sorted.bam,NA,NA,NA,-11.73727622,7.425753527,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_130_sorted.bam,NA,NA,NA,1.438032287,-16.54672152,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_131_sorted.bam,NA,NA,NA,6.147890898,-13.5413676,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_133_sorted.bam,NA,NA,NA,-9.127434877,-0.926132626,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_134_sorted.bam,NA,NA,NA,-13.99411884,11.91932576,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_135_sorted.bam,NA,NA,NA,7.746123167,-13.668768,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_136_sorted.bam,NA,NA,NA,-13.69380298,-2.859365619,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_137_sorted.bam,NA,NA,NA,-7.271314767,-7.851439066,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_138_sorted.bam,NA,NA,NA,-1.470719246,-16.84072215,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_139_sorted.bam,NA,NA,NA,-14.52849975,11.49528115,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_140_sorted.bam,NA,NA,NA,-15.2107841,-3.376888282,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_141_sorted.bam,NA,NA,NA,-13.94976249,-0.711351223,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_142_sorted.bam,NA,NA,NA,8.089594695,-12.6775542,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_143_sorted.bam,NA,NA,NA,2.405387255,-11.7552634,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_144_sorted.bam,NA,NA,NA,-7.982038644,-0.404266901,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_145_sorted.bam,NA,NA,NA,-11.19791427,-3.451348848,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_146_sorted.bam,NA,NA,NA,0.260393831,-13.91761119,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_148_sorted.bam,NA,NA,NA,-10.14021697,2.597517901,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_149_sorted.bam,NA,NA,NA,-13.22699752,2.639131956,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_150_sorted.bam,NA,NA,NA,-15.04730525,-1.647326178,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_151_sorted.bam,NA,NA,NA,-1.130567459,-16.8270169,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_153_sorted.bam,NA,NA,NA,-6.77894893,-2.465224165,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_154_sorted.bam,NA,NA,NA,-10.5261375,1.337601834,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_155_sorted.bam,NA,NA,NA,2.750811192,-11.38331229,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_156_sorted.bam,NA,NA,NA,3.838970515,-17.0589133,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_157_sorted.bam,NA,NA,NA,-11.27605358,4.906234198,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_158_sorted.bam,NA,NA,NA,-2.518639949,-2.096818633,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_159_sorted.bam,NA,NA,NA,6.002064558,-14.79323203,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_161_sorted.bam,NA,NA,NA,-7.585386423,-2.324577845,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_162_sorted.bam,NA,NA,NA,-5.865122465,-3.154094584,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_163_sorted.bam,NA,NA,NA,-0.66514161,-14.75737292,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_164_sorted.bam,NA,NA,NA,7.822507712,-11.92165858,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_165_sorted.bam,NA,NA,NA,-13.97815051,5.324942999,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_166_sorted.bam,NA,NA,NA,-6.989209322,4.667808943,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_167_sorted.bam,NA,NA,NA,2.622233006,-9.535783834,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_168_sorted.bam,NA,NA,NA,3.166544172,-16.78411681,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_169_sorted.bam,NA,NA,NA,-16.30177989,-0.881182856,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_170_sorted.bam,NA,NA,NA,-5.563823846,3.172104292,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_171_sorted.bam,NA,NA,NA,4.363506647,-13.48343093,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_172_sorted.bam,NA,NA,NA,2.675802561,-10.98615748,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_173_sorted.bam,NA,NA,NA,-13.37142864,0.977278643,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_174_sorted.bam,NA,NA,NA,-4.056735662,0.58171504,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_175_sorted.bam,NA,NA,NA,0.603940519,-14.61248977,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_176_sorted.bam,NA,NA,NA,3.1101186,-13.03818519,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_177_sorted.bam,NA,NA,NA,1.901399466,-12.16966636,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_179_sorted.bam,NA,NA,NA,-9.01150432,1.329538517,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_180_sorted.bam,NA,NA,NA,-8.151921419,9.072049074,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_181_sorted.bam,NA,NA,NA,-0.604903129,-15.83734424,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_182_sorted.bam,NA,NA,NA,-8.974844125,7.10587781,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_183_sorted.bam,NA,NA,NA,-14.34812656,4.07929843,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_184_sorted.bam,NA,NA,NA,0.242176505,-13.27949435,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_185_sorted.bam,NA,NA,NA,1.747096511,-15.06670958,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_186_sorted.bam,NA,NA,NA,5.404932352,-16.58890731,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_187_sorted.bam,NA,NA,NA,-13.16347518,-0.841188855,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_188_sorted.bam,NA,NA,NA,-12.74993625,5.313579016,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_189_sorted.bam,NA,NA,NA,5.900491568,-17.95735366,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_190_sorted.bam,NA,NA,NA,-8.381709245,1.659741335,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_191_sorted.bam,NA,NA,NA,-14.07735935,3.200791292,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_192_sorted.bam,NA,NA,NA,6.243028971,-16.34751136,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_194_sorted.bam,NA,NA,NA,-9.184210924,3.88692277,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_196_sorted.bam,NA,NA,NA,-0.30588713,-12.19266421,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_198_sorted.bam,NA,NA,NA,-9.339149622,8.567655497,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_199_sorted.bam,NA,NA,NA,-8.041422037,-1.503196723,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_200_sorted.bam,NA,NA,NA,6.745573851,-15.65663821,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_202_sorted.bam,NA,NA,NA,-9.977928308,5.93816083,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_203_sorted.bam,NA,NA,NA,-8.843743471,4.426710062,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_204_sorted.bam,NA,NA,NA,1.385874758,-14.68733699,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_205_sorted.bam,NA,NA,NA,-12.06363407,3.30713027,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_207_sorted.bam,NA,NA,NA,-11.69955936,4.245266371,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_208_sorted.bam,NA,NA,NA,1.042692619,-15.96848781,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_209_sorted.bam,NA,NA,NA,-11.22886482,3.289347582,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
